type,sprite,cost,rarity,value,cardName,description,effect
magic,eagle,2,3,-2,Butorides striatus,Function-based tertiary encoding,attack
magic,eagle,3,3,-4,Buteo regalis,User-centric radical projection,attack
combat,bear,3,3,0,Pedetes capensis,Open-source tangible help-desk,attack
magic,wolf,3,1,-3,Tadorna tadorna,Open-source multi-state array,status
magic,fox,2,2,-5,Odocoilenaus virginianus,Down-sized maximized Graphical User Interface,skill
magic,fox,3,1,5,Damaliscus dorcas,Seamless eco-centric leverage,attack
combat,fox,3,2,5,Antidorcas marsupialis,Public-key didactic orchestration,status
combat,fox,2,3,3,Spizaetus coronatus,Re-engineered uniform system engine,status
combat,fox,3,2,-2,Sarkidornis melanotos,Multi-lateral 6th generation emulation,attack
combat,eagle,3,3,-1,Erethizon dorsatum,Upgradable local instruction set,status
magic,bear,2,2,0,Herpestes javanicus,Phased zero defect leverage,status
magic,wolf,2,2,-2,Ictalurus furcatus,Integrated scalable algorithm,attack
combat,wolf,2,1,0,Corvus albus,Persistent intermediate methodology,attack
magic,fox,2,1,1,Macropus agilis,Horizontal global system engine,skill
combat,wolf,3,2,5,Paradoxurus hermaphroditus,Versatile analyzing throughput,skill
combat,fox,2,3,3,Ctenophorus ornatus,Multi-lateral holistic database,skill
magic,bear,1,3,-5,Sylvilagus floridanus,Persevering coherent alliance,attack
magic,fox,3,1,-2,Varanus sp.,Phased analyzing task-force,status
combat,fox,2,3,2,Spheniscus mendiculus,Function-based eco-centric moderator,status
magic,bear,3,3,-2,Thylogale stigmatica,Profound 5th generation customer loyalty,attack
magic,fox,2,3,0,Leprocaulinus vipera,Exclusive fresh-thinking access,status
combat,bear,1,2,1,Thalasseus maximus,Expanded 4th generation approach,status
magic,wolf,3,1,4,Alopex lagopus,Secured clear-thinking parallelism,skill
combat,wolf,2,1,4,Perameles nasuta,User-friendly holistic structure,skill
magic,bear,1,3,0,Chionis alba,Diverse even-keeled archive,skill
magic,eagle,1,3,0,Pelecanus occidentalis,Down-sized content-based array,attack
combat,bear,3,2,-3,Hippotragus niger,Versatile explicit core,attack
combat,wolf,2,3,-3,Tachybaptus ruficollis,Inverse exuding emulation,skill
combat,bear,2,1,3,Larus novaehollandiae,Visionary system-worthy conglomeration,status
magic,fox,3,3,-1,Oryx gazella callotis,Multi-tiered dedicated hardware,status
magic,fox,2,2,-1,Chauna torquata,Re-contextualized multimedia database,attack
combat,wolf,3,2,2,Lorythaixoides concolor,Synchronised analyzing help-desk,status
combat,wolf,2,1,1,Crocodylus niloticus,Expanded attitude-oriented open system,skill
magic,wolf,3,1,4,Centrocercus urophasianus,Down-sized hybrid moderator,status
